market_id,demand_intercept,demand_slope,marginal_costs,price,quantity,ps,cs,dwl,sw
1,453,8,209,331.0,15.25,1860.5,930.25,930.25,2790.75
2,864,2,372,618.0,123.0,30258.0,15129.0,15129.0,45387.0
3,792,8,248,520.0,34.0,9248.0,4624.0,4624.0,13872.0
4,663,1,309,486.0,177.0,31329.0,15664.5,15664.5,46993.5
5,659,8,237,448.0,26.38,5565.12,2782.56,2782.56,8347.68
6,915,8,179,547.0,46.0,16928.0,8464.0,8464.0,25392.0
7,451,8,329,390.0,7.62,465.12,232.56,232.56,697.6800000000001
8,818,6,390,604.0,35.67,7632.67,3816.33,3816.33,11449.0
9,520,5,179,349.5,34.1,5814.05,2907.02,2907.02,8721.07
10,456,7,333,394.5,8.79,540.32,270.16,270.16,810.48
11,715,3,178,446.5,89.5,24030.75,12015.38,12015.38,36046.13
12,985,8,315,650.0,41.88,14028.12,7014.06,7014.06,21042.18
13,841,6,336,588.5,42.08,10626.04,5313.02,5313.02,15939.060000000001
14,856,5,234,545.0,62.2,19344.2,9672.1,9672.1,29016.300000000003
15,830,5,321,575.5,50.9,12954.05,6477.02,6477.02,19431.07
16,871,6,181,526.0,57.5,19837.5,9918.75,9918.75,29756.25
17,707,1,123,415.0,292.0,85264.0,42632.0,42632.0,127896.0
18,476,2,128,302.0,87.0,15138.0,7569.0,7569.0,22707.0
19,903,3,234,568.5,111.5,37296.75,18648.38,18648.38,55945.130000000005
20,670,2,370,520.0,75.0,11250.0,5625.0,5625.0,16875.0
21,700,4,138,419.0,70.25,19740.25,9870.12,9870.12,29610.370000000003
22,622,7,236,429.0,27.57,5321.29,2660.64,2660.64,7981.93
23,509,6,311,410.0,16.5,1633.5,816.75,816.75,2450.25
24,956,5,160,558.0,79.6,31680.8,15840.4,15840.4,47521.2
25,868,8,316,592.0,34.5,9522.0,4761.0,4761.0,14283.0
26,786,6,191,488.5,49.58,14751.04,7375.52,7375.52,22126.56
27,641,1,342,491.5,149.5,22350.25,11175.12,11175.12,33525.37
28,893,7,273,583.0,44.29,13728.57,6864.29,6864.29,20592.86
29,727,6,264,495.5,38.58,8932.04,4466.02,4466.02,13398.060000000001
30,666,6,153,409.5,42.75,10965.38,5482.69,5482.69,16448.07
31,670,6,238,454.0,36.0,7776.0,3888.0,3888.0,11664.0
32,536,5,356,446.0,18.0,1620.0,810.0,810.0,2430.0
33,455,1,105,280.0,175.0,30625.0,15312.5,15312.5,45937.5
34,732,6,327,529.5,33.75,6834.38,3417.19,3417.19,10251.57
35,932,8,247,589.5,42.81,14663.28,7331.64,7331.64,21994.920000000002
36,438,3,315,376.5,20.5,1260.75,630.38,630.38,1891.13
37,914,6,298,606.0,51.33,15810.67,7905.33,7905.33,23716.0
38,896,1,229,562.5,333.5,111222.25,55611.12,55611.12,166833.37
39,566,4,192,379.0,46.75,8742.25,4371.12,4371.12,13113.369999999999
40,778,4,288,533.0,61.25,15006.25,7503.12,7503.12,22509.37
41,499,9,142,320.5,19.83,3540.25,1770.12,1770.12,5310.37
42,854,2,275,564.5,144.75,41905.12,20952.56,20952.56,62857.68000000001
43,820,3,128,474.0,115.33,39905.33,19952.67,19952.67,59858.0
44,612,4,294,453.0,39.75,6320.25,3160.12,3160.12,9480.369999999999
45,440,9,288,364.0,8.44,641.78,320.89,320.89,962.67
46,982,8,125,553.5,53.56,22951.53,11475.77,11475.77,34427.3
47,667,1,327,497.0,170.0,28900.0,14450.0,14450.0,43350.0
48,935,3,224,579.5,118.5,42126.75,21063.38,21063.38,63190.130000000005
49,806,8,336,571.0,29.38,6903.12,3451.56,3451.56,10354.68
50,867,1,112,489.5,377.5,142506.25,71253.12,71253.12,213759.37
51,855,8,153,504.0,43.88,15400.12,7700.06,7700.06,23100.18
52,516,3,248,382.0,44.67,5985.33,2992.67,2992.67,8978.0
53,618,9,156,387.0,25.67,5929.0,2964.5,2964.5,8893.5
54,680,3,198,439.0,80.33,19360.33,9680.17,9680.17,29040.5
55,698,4,298,498.0,50.0,10000.0,5000.0,5000.0,15000.0
56,426,6,143,284.5,23.58,3337.04,1668.52,1668.52,5005.5599999999995
57,727,2,303,515.0,106.0,22472.0,11236.0,11236.0,33708.0
58,492,6,131,311.5,30.08,5430.04,2715.02,2715.02,8145.0599999999995
59,846,5,152,499.0,69.4,24081.8,12040.9,12040.9,36122.7
60,809,8,276,542.5,33.31,8877.78,4438.89,4438.89,13316.670000000002
61,953,9,338,645.5,34.17,10506.25,5253.12,5253.12,15759.369999999999
62,846,6,151,498.5,57.92,20126.04,10063.02,10063.02,30189.06
63,619,4,189,404.0,53.75,11556.25,5778.12,5778.12,17334.37
64,980,4,377,678.5,75.38,22725.56,11362.78,11362.78,34088.340000000004
65,646,4,396,521.0,31.25,3906.25,1953.12,1953.12,5859.37
66,595,8,274,434.5,20.06,3220.03,1610.02,1610.02,4830.05
67,943,3,234,588.5,118.17,41890.08,20945.04,20945.04,62835.12
68,622,2,204,413.0,104.5,21840.5,10920.25,10920.25,32760.75
69,445,4,283,364.0,20.25,1640.25,820.12,820.12,2460.37
70,681,1,277,479.0,202.0,40804.0,20402.0,20402.0,61206.0
71,877,1,188,532.5,344.5,118680.25,59340.12,59340.12,178020.37
72,513,1,106,309.5,203.5,41412.25,20706.12,20706.12,62118.369999999995
73,677,7,145,411.0,38.0,10108.0,5054.0,5054.0,15162.0
74,477,7,387,432.0,6.43,289.29,144.64,144.64,433.93
75,811,7,225,518.0,41.86,12264.14,6132.07,6132.07,18396.21
76,685,5,244,464.5,44.1,9724.05,4862.02,4862.02,14586.07
77,598,7,240,419.0,25.57,4577.29,2288.64,2288.64,6865.93
78,536,2,334,435.0,50.5,5100.5,2550.25,2550.25,7650.75
79,738,9,119,428.5,34.39,10643.36,5321.68,5321.68,15965.04
80,801,5,124,462.5,67.7,22916.45,11458.22,11458.22,34374.67
81,964,9,182,573.0,43.44,16986.78,8493.39,8493.39,25480.17
82,662,2,245,453.5,104.25,21736.12,10868.06,10868.06,32604.18
83,496,5,301,398.5,19.5,1901.25,950.62,950.62,2851.87
84,899,7,247,573.0,46.57,15182.29,7591.14,7591.14,22773.43
85,777,5,232,504.5,54.5,14851.25,7425.62,7425.62,22276.87
86,820,5,381,600.5,43.9,9636.05,4818.02,4818.02,14454.07
87,458,2,148,303.0,77.5,12012.5,6006.25,6006.25,18018.75
88,587,4,271,429.0,39.5,6241.0,3120.5,3120.5,9361.5
89,860,3,262,561.0,99.67,29800.33,14900.17,14900.17,44700.5
90,899,3,242,570.5,109.5,35970.75,17985.38,17985.38,53956.130000000005
91,661,7,342,501.5,22.79,3634.32,1817.16,1817.16,5451.4800000000005
92,882,6,180,531.0,58.5,20533.5,10266.75,10266.75,30800.25
93,905,6,386,645.5,43.25,11223.38,5611.69,5611.69,16835.07
94,632,4,199,415.5,54.12,11718.06,5859.03,5859.03,17577.09
95,938,9,263,600.5,37.5,12656.25,6328.12,6328.12,18984.37
96,572,1,256,414.0,158.0,24964.0,12482.0,12482.0,37446.0
97,543,4,354,448.5,23.62,2232.56,1116.28,1116.28,3348.84
98,809,2,231,520.0,144.5,41760.5,20880.25,20880.25,62640.75
99,782,4,185,483.5,74.62,22275.56,11137.78,11137.78,33413.340000000004
100,483,9,106,294.5,20.94,3948.03,1974.01,1974.01,5922.04
